clip_path,label,wpm,source,snr_db
data\augmented\20wpm\260106_20WPM_000_aug00.wav,= NOW 20,20wpm,260106_20WPM.mp3,13.8
data\augmented\20wpm\260106_20WPM_000_aug01.wav,= NOW 20,20wpm,260106_20WPM.mp3,19.4
data\augmented\20wpm\260106_20WPM_001_aug00.wav,WPM =,20wpm,260106_20WPM.mp3,5.2
data\augmented\20wpm\260106_20WPM_001_aug01.wav,WPM =,20wpm,260106_20WPM.mp3,5.7
data\augmented\20wpm\260106_20WPM_002_aug00.wav,TEXT IS,20wpm,260106_20WPM.mp3,18.8
data\augmented\20wpm\260106_20WPM_002_aug01.wav,TEXT IS,20wpm,260106_20WPM.mp3,-0.7
data\augmented\20wpm\260106_20WPM_003_aug00.wav,FROM MAR,20wpm,260106_20WPM.mp3,2.5
data\augmented\20wpm\260106_20WPM_003_aug01.wav,FROM MAR,20wpm,260106_20WPM.mp3,11.3
data\augmented\20wpm\260106_20WPM_004_aug00.wav,CH 2024,20wpm,260106_20WPM.mp3,3.4
data\augmented\20wpm\260106_20WPM_004_aug01.wav,CH 2024,20wpm,260106_20WPM.mp3,13.7
data\augmented\20wpm\260106_20WPM_005_aug00.wav,QST PAG,20wpm,260106_20WPM.mp3,10.4
data\augmented\20wpm\260106_20WPM_005_aug01.wav,QST PAG,20wpm,260106_20WPM.mp3,18.0
data\augmented\20wpm\260106_20WPM_006_aug00.wav,E 44 = T,20wpm,260106_20WPM.mp3,8.2
data\augmented\20wpm\260106_20WPM_006_aug01.wav,E 44 = T,20wpm,260106_20WPM.mp3,16.8
data\augmented\20wpm\260106_20WPM_007_aug00.wav,WO GAIN,20wpm,260106_20WPM.mp3,14.3
data\augmented\20wpm\260106_20WPM_007_aug01.wav,WO GAIN,20wpm,260106_20WPM.mp3,11.4
data\augmented\20wpm\260106_20WPM_008_aug00.wav,CONTROL,20wpm,260106_20WPM.mp3,2.3
data\augmented\20wpm\260106_20WPM_008_aug01.wav,CONTROL,20wpm,260106_20WPM.mp3,6.8
data\augmented\20wpm\260106_20WPM_009_aug00.wav,KEYS AD,20wpm,260106_20WPM.mp3,13.6
data\augmented\20wpm\260106_20WPM_009_aug01.wav,KEYS AD,20wpm,260106_20WPM.mp3,3.3
data\augmented\20wpm\260106_20WPM_010_aug00.wav,JUST BOT,20wpm,260106_20WPM.mp3,8.7
data\augmented\20wpm\260106_20WPM_010_aug01.wav,JUST BOT,20wpm,260106_20WPM.mp3,19.0
data\augmented\20wpm\260106_20WPM_011_aug00.wav,H THE HE,20wpm,260106_20WPM.mp3,0.5
data\augmented\20wpm\260106_20WPM_011_aug01.wav,H THE HE,20wpm,260106_20WPM.mp3,4.9
data\augmented\20wpm\260106_20WPM_012_aug00.wav,ARD VOL,20wpm,260106_20WPM.mp3,12.1
data\augmented\20wpm\260106_20WPM_012_aug01.wav,ARD VOL,20wpm,260106_20WPM.mp3,9.2
data\augmented\20wpm\260106_20WPM_013_aug00.wav,"UME, PER",20wpm,260106_20WPM.mp3,-2.3
data\augmented\20wpm\260106_20WPM_013_aug01.wav,"UME, PER",20wpm,260106_20WPM.mp3,15.0
data\augmented\20wpm\260106_20WPM_014_aug00.wav,IOD AND,20wpm,260106_20WPM.mp3,11.6
data\augmented\20wpm\260106_20WPM_014_aug01.wav,IOD AND,20wpm,260106_20WPM.mp3,13.1
data\augmented\20wpm\260106_20WPM_015_aug00.wav,"COMMA, A",20wpm,260106_20WPM.mp3,9.7
